cooked rice,24,
rice vinegar,60,
mayonnaise,60,
sriracha sauce,60,
minced pickle,60,
minced onion,60,
lemon juice,60,
garlic,60,
sesame seeds,60,
chicken breast,24,
kecap manis,24,
cabbage,24,
red onion mediumsize,24,
shrimp paste,24,
as many spicy red chili peppers,24,
vegetable oil,24,
scallions,24,
servings,24,
egg,60,
shallot,52,
sesame oil for frying,52,
spring onions for garnish,52,
sesame seeds for garnish,47,
fish,45,
steam rice,49,
eggs,49,
imitation crab meat,49,
bread flake,49,
salt,49,
roasted seaweed powder,49,
mushroom powder,49,
sesame oil,49,
材料,49,
白饭,49,
鸡蛋,49,
仿蟹肉,49,
面包糠,49,
盐,49,
海苔粉,49,
香菇粉,49,
麻油,49,